eRegulon,stability_class,mean_RI,rank,mean_abs_age_rho,median_abs_age_rho,mean_age_rho,n_tests,n_significant
BCL6_+_(20g),destabilizer,0.0006184187271841,174,0.06387051530021431,0.0494353053951259,-0.0340514470089293,61,17
POU2AF1_+_(356g),destabilizer,0.0006059501741553,175,0.11620026393458169,0.0748466232814943,0.08432894748125123,61,33
HES1_+_(45g),destabilizer,0.0005946583288402,176,0.05891322763642618,0.0549666462878588,-0.04326636724929637,61,15
E2F5_+_(133g),destabilizer,0.0005881471754936,177,0.08552049175673766,0.067435345678699,0.07098191375118659,61,27
IKZF2_+_(211g),destabilizer,0.000545236981938,178,0.07803347807432458,0.0558406626966381,0.003731057878735758,61,25
EBF4_extended_+_(11g),destabilizer,0.000518071069607,179,0.0698101238055367,0.05947679205065775,-0.052950439064652174,60,19
E2F8_+_(161g),destabilizer,0.0004892388730705,180,0.05809761810313038,0.0465330897438138,0.0015185682140171754,61,12
LEF1_+_(607g),destabilizer,0.0004612808418765,181,0.20575509251317983,0.19682782006772,-0.2052266556730409,61,51
EHF_+_(54g),destabilizer,0.0004468637467415,182,0.1513733423886576,0.149681271042616,0.1513733423886576,61,43
EGR3_+_(11g),destabilizer,0.0003945763738337,183,0.04970774788103939,0.0400948050375501,0.005078045178660819,61,13
ZNF697_+_(49g),destabilizer,0.0003878633758932,184,0.06988175185156906,0.073380844639103,-0.053356224353249604,61,22
ZNF367_extended_+_(194g),destabilizer,0.0003505200674057,185,0.05328800539026994,0.0511511800423254,-0.010105658607272775,61,10
FOXM1_+_(28g),destabilizer,0.0003330184327605,186,0.0659624574342849,0.0522922133536326,0.04526589192184547,61,20
E2F7_+_(154g),destabilizer,0.0003181117712851,187,0.06648847960875562,0.062069754954808,-0.03631461009587715,61,19
ETV7_+_(43g),destabilizer,0.0002914849962999,188,0.05824565840680675,0.0479309484825799,-0.014184624798616255,61,14
SCX_extended_+_(38g),destabilizer,0.000281543522349,189,0.06224450781998248,0.0490811235141784,-0.007792979678447806,61,14
RORC_+_(108g),destabilizer,0.0002626238398261,190,0.10001814162290895,0.0904128297316293,-0.026514976000079037,61,28
PLAG1_+_(254g),destabilizer,0.0001782404029318,191,0.08430317675232998,0.0617887138891125,-0.05292193863403418,61,24
FOXP3_+_(32g),destabilizer,0.0001503625534034,192,0.07660416315453264,0.0581875873143285,0.04313439602827183,56,13
FOSL1_+_(14g),destabilizer,0.0001459026131159,193,0.06751436813594625,0.045539520492008004,-0.001775940339028318,30,5
HOXA6_+_(10g),destabilizer,7.117623755450489e-05,194,0.05066459709239186,0.0350842153456307,-0.02623805298288857,14,2
TCF7L1_+_(41g),destabilizer,6.325746504151327e-05,195,0.05181607466133376,0.0298628080190247,0.025716567613281636,59,9
TAL1_+_(123g),destabilizer,5.461986453682796e-05,196,0.05648640085559132,0.0559966858346391,-0.052255337387345134,61,16
MYCN_+_(166g),destabilizer,5.421002510095299e-05,197,0.08824187172415612,0.0680290089130686,0.06862054797620402,61,24
PBX1_+_(58g),destabilizer,5.141489936096463e-05,198,0.060760305859911046,0.04596068576364685,0.03773869382839031,54,14
ERG_+_(115g),destabilizer,5.116451034945802e-05,199,0.051172346676953376,0.03805527545272195,0.006680238383252593,58,13
GATA2_+_(152g),destabilizer,3.639277341027384e-05,200,0.06088131733906647,0.0461792601086905,0.03236328230181443,58,13
GATA1_+_(145g),destabilizer,3.554658570050101e-05,201,0.0689391457662039,0.04766816362091375,0.03986983787697057,56,16
ZBTB8A_+_(54g),destabilizer,3.380620205862784e-05,202,0.03417116889040815,0.025044650969659,-0.011541373690872199,27,0
HOXA9_+_(12g),destabilizer,1.762831773089649e-05,203,0.04522435103077404,0.0370437222919819,0.002356761404028075,11,2
