gene,magnitude,uniformity,sparsity,gini,non_additivity,n_celltypes,mean_abs_beta,max_abs_beta
MGAT1,0.8663993125595018,0.0,0.15942028985507245,0.13509679863537571,1.0,11,0.2524305572727273,0.42758235
MGME1,0.7842867004610821,0.0,0.08695652173913043,0.08923461822044287,1.0,6,0.31620352500000004,0.37648878
MGST2,2.323150321385072,0.0,0.2898550724637681,0.14733991770109123,1.0,20,0.5031030245,0.7152722
MGST3,4.042853511930988,0.0,0.7246376811594203,0.15115224995093146,1.0,50,0.5516370658,1.0215263
MIA2,1.5349168494379586,0.0,0.2463768115942029,0.15333486554014275,1.0,17,0.35807396529411767,0.61828387
ZNF680,0.7430460897986985,0.0,0.057971014492753624,0.08602438339884722,1.0,4,0.366884045,0.4333671
AC004865.2,2.5339324859706056,0.0,0.3188405797101449,0.1332629672729737,1.0,22,0.5253773672727272,0.79118943
AC005041.5,1.4280737358444782,0.0,0.11594202898550725,0.1282067623550185,1.0,8,0.49242209125,0.6859431
AC005332.4,2.676177776382182,0.0,0.42028985507246375,0.15021598364669142,1.0,29,0.4738278758620689,1.0870296
AC005332.5,1.1540882415150073,0.0,0.08695652173913043,0.13490058550468964,1.0,6,0.4578106416666666,0.6209293
AC005332.6,1.9690042779906407,0.0,0.2318840579710145,0.1602533888128299,1.0,16,0.47347033437499997,0.77047396
AC006064.4,1.1241195263108392,0.0,0.18840579710144928,0.2320212237112076,1.0,13,0.2874988323076923,0.5485205
AC006064.5,2.8121021298869335,0.0,0.5217391304347826,0.09442311437879791,1.0,36,0.46238231166666666,0.6088052
AC006230.1,1.1754411657089248,0.0,0.057971014492753624,0.19722617608451198,1.0,4,0.55359372,0.84425896
